                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                    117,                0.90861,                0.52924,                0.96314,                0.71888,                0.71696,                0.74479,                0.48774,                 1.2217,                 0.7529,                 1.1639,              0.0009629,              0.0009629,              0.0009629
                    118,                0.90338,                0.53198,                0.95631,                0.70916,                0.77187,                0.74495,                0.48363,                 1.2406,                0.75729,                 1.1618,             0.00096043,             0.00096043,             0.00096043
                    119,                0.89992,                0.51897,                0.95788,                0.70081,                0.76952,                0.75206,                0.49384,                 1.2198,                0.75046,                 1.1578,             0.00095795,             0.00095795,             0.00095795
                    120,                0.88942,                0.51598,                0.95603,                0.73925,                0.70123,                0.74772,                0.48891,                 1.2301,                0.74428,                 1.1666,             0.00095548,             0.00095548,             0.00095548
                    121,                0.90453,                0.52328,                0.96082,                0.70858,                0.77449,                 0.7486,                0.48355,                 1.2295,                0.74125,                 1.1724,               0.000953,               0.000953,               0.000953
                    122,                0.89816,                0.51763,                0.95766,                0.74498,                0.74616,                0.75303,                0.48737,                 1.2337,                0.75237,                 1.1707,             0.00095053,             0.00095053,             0.00095053
                    123,                0.88481,                0.51313,                0.94866,                0.78931,                0.69625,                0.74201,                0.48756,                 1.2345,                0.75811,                 1.1691,             0.00094805,             0.00094805,             0.00094805
                    124,                0.89655,                0.52558,                0.95707,                 0.6998,                0.81364,                0.74318,                0.49008,                 1.2216,                0.74567,                 1.1604,             0.00094558,             0.00094558,             0.00094558
                    125,                0.88557,                0.51339,                0.94278,                0.77614,                 0.7786,                0.76598,                0.49644,                 1.2289,                 0.7464,                 1.1715,              0.0009431,              0.0009431,              0.0009431
                    126,                0.87542,                0.51824,                0.95184,                0.77184,                0.70677,                0.75367,                0.49268,                 1.2303,                0.73674,                 1.1707,             0.00094062,             0.00094062,             0.00094062
                    127,                0.88506,                0.51113,                0.95557,                0.73332,                0.78422,                0.76123,                0.48925,                 1.2269,                0.75795,                 1.1623,             0.00093815,             0.00093815,             0.00093815
                    128,                0.87652,                0.50691,                0.95101,                0.69285,                0.75879,                0.75216,                0.49967,                 1.2435,                 0.8099,                 1.1787,             0.00093567,             0.00093567,             0.00093567
                    129,                0.87496,                0.51204,                0.94989,                0.74278,                0.74776,                 0.7618,                0.49901,                  1.226,                0.73605,                 1.1647,              0.0009332,              0.0009332,              0.0009332
